Country,Total,SolidFuel,LiquidFuel,GasFuel,Cement,GasFlaring,PerCapita,Bunkerfuels (Not in Total)
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,11052,9361,712,0,979,0,0.44,0
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),1274,0,1228,1,45,0,0.02,193
DENMARK,9135,2468,4606,1757,255,50,1.62,1383
DJIBOUTI,197,0,149,0,48,0,0.22,94
DOMINICA,37,0,37,0,0,0,0.51,2
DOMINICAN REPUBLIC,5874,765,3938,518,653,0,0.56,414
ECUADOR,11977,0,10114,548,898,417,0.75,664
EGYPT,55057,408,22480,25505,6664,0,0.61,1942
EL SALVADOR,1714,0,1578,0,136,0,0.28,130
EQUATORIAL GUINEA,1458,0,166,864,0,428,1.78,30
ERITREA,190,0,149,0,41,0,0.04,1
ESTONIA,5323,4767,223,272,61,0,4.04,317
ETHIOPIA,3163,232,2197,0,734,0,0.03,330
FAEROE ISLANDS,163,0,163,0,0,0,3.39,20
FALKLAND ISLANDS (MALVINAS),15,3,12,0,0,0,5.16,0
FEDERATED STATES OF MICRONESIA,41,0,41,0,0,0,0.39,1
FIJI,319,0,293,0,26,0,0.36,56
FINLAND,12899,4677,6482,1570,170,0,2.35,602
FRANCE (INCLUDING MONACO),82704,9419,50615,20358,2312,0,1.29,6306
FRENCH GUIANA,200,0,188,0,12,0,0.76,33
FRENCH POLYNESIA,219,0,219,0,0,0,0.78,45
GABON,1416,0,749,173,23,471,0.84,211
GAMBIA,140,0,138,1,0,0,0.07,12
GEORGIA,2451,310,774,1145,221,0,0.61,68
GERMANY,196314,84098,68263,39582,4365,5,2.43,8706
GHANA,3945,0,3188,349,408,0,0.15,104
GIBRALTAR,144,0,144,0,0,0,4.5,2509
GREECE,18358,7203,8906,1552,697,0,1.67,2301
GREENLAND,138,0,138,0,0,0,2.46,15
GRENADA,66,0,66,0,0,0,0.62,4
GUADELOUPE,700,145,514,0,41,0,1.5,93
GUATEMALA,4998,521,4000,0,476,0,0.31,311
GUINEA,668,0,599,0,68,0,0.05,21
GUINEA BISSAU,74,0,74,0,0,0,0.04,10
GUYANA,548,0,548,0,0,0,0.72,8
HAITI,780,0,739,0,41,0,0.07,29
HONDURAS,2583,145,2207,0,231,0,0.32,57
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,12605,8420,2659,1268,258,0,1.74,12769
HUNGARY,11477,2400,4431,4361,286,0,1.16,146
ICELAND,541,90,451,0,0,0,1.65,171
INDIA,610411,407077,140199,25278,37400,457,0.47,4396
INDONESIA,126582,33370,63677,17035,7888,4612,0.5,1356
IRAQ,45935,0,33962,3448,1768,6757,1.3,611
IRELAND,9290,2114,4580,2325,272,0,1.99,711
ISLAMIC REPUBLIC OF IRAN,177115,900,66662,91127,8976,9450,2.27,4218
ISRAEL,17617,6775,6013,3930,898,0,2.22,1011
ITALY (INCLUDING SAN MARINO),87377,13532,39265,31670,2910,0,1.46,4265
JAMAICA,2024,75,1835,0,113,0,0.73,182
JAPAN,331074,122461,133395,67342,7876,0,2.61,8123
JORDAN,7213,375,6057,169,612,0,0.97,110
KAZAKHSTAN,67716,38375,8819,19438,1085,0,3.9,193
KENYA,3896,340,2796,0,759,0,0.09,194
KIRIBATI,17,0,17,0,0,0,0.15,3
KUWAIT,26018,0,15952,9433,517,116,6.93,1585
KYRGYZSTAN,2620,1229,1016,141,235,0,0.45,3
LAO PEOPLE S DEMOCRATIC REPUBLIC,533,84,122,0,326,0,0.08,9
LATVIA,1902,62,1002,676,163,0,0.96,292
LEBANON,6564,171,5643,0,750,0,1.17,222
LESOTHO,673,507,167,0,0,0,0.32,0
LIBERIA,255,0,215,0,40,0,0.06,19
LIBYAN ARAB JAMAHIRIYAH,15543,0,9885,3031,272,2355,2.48,183
LIECHTENSTEIN,12,0,0,12,0,0,0.31,0
LITHUANIA,3501,237,1852,1289,123,0,1.2,74
LUXEMBOURG,2634,55,1903,527,150,0,4.73,337
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,350,0,320,31,0,0,0.61,56
MACEDONIA,2048,1177,709,69,93,0,0.99,10
MADAGASCAR,839,278,527,0,33,0,0.04,64
MALAWI,348,55,232,0,61,0,0.02,6
MALAYSIA,66218,15793,24442,21399,2992,1591,2.21,2271
MALDIVES,364,0,364,0,0,0,1.02,204
MALI,385,0,385,0,0,0,0.02,20
MALTA,640,0,640,0,0,0,1.53,1166
MARSHALL ISLANDS,28,0,28,0,0,0,0.52,0
MARTINIQUE,627,0,607,0,20,0,1.58,124
MAURITANIA,739,0,634,0,105,0,0.19,25
MAURITIUS,1153,474,680,0,0,0,0.91,351
MEXICO,130971,13358,73374,37801,4760,1678,1.04,3300
MONGOLIA,5683,4702,925,0,56,0,1.95,0
MONTENEGRO,603,387,216,0,0,0,0.96,15
MONTSERRAT,13,0,13,0,0,0,2.63,1
MOROCCO,16325,4176,9384,629,2137,0,0.47,656
MOZAMBIQUE,2298,225,1507,362,204,0,0.08,103
MYANMAR (FORMERLY BURMA),5899,390,4008,1318,179,4,0.11,34
NAMIBIA,1024,19,907,0,99,0,0.43,40
NAURU,13,0,13,0,0,0,1.32,4
NEPAL,2190,501,1267,0,422,0,0.08,119
NETHERLANDS,45624,9070,18272,18010,272,0,2.7,14210
NEW CALEDONIA,1170,426,729,0,14,0,4.5,9
NEW ZEALAND,9453,1505,5014,2744,150,39,2.1,918
NICARAGUA,1326,0,1231,0,95,0,0.22,19
NIGER,580,98,480,0,3,0,0.03,25
NIGERIA,26256,33,8830,9035,2720,5637,0.15,581
NIUE,3,0,3,0,0,0,1.56,0
NORWAY,12988,879,8542,3085,231,251,2.52,545
OCCUPIED PALESTINIAN TERRITORY,774,0,774,0,0,0,0.17,0
OMAN,16681,0,2904,12272,680,824,3.94,1442
PAKISTAN,45350,3535,19726,17736,4352,0,0.25,263
PALAU,71,0,71,0,0,0,3.37,15
PANAMA,2400,354,1748,0,298,0,0.62,3086
PAPUA NEW GUINEA,1723,0,1628,67,27,0,0.23,49
PARAGUAY,1555,0,1419,0,136,0,0.24,32
PERU,16838,780,7089,4512,1452,3005,0.54,681
PHILIPPINES,28812,11662,12224,1934,2992,0,0.29,980
PLURINATIONAL STATE OF BOLIVIA,5566,0,2897,2142,476,51,0.53,50
POLAND,77922,52194,15261,8372,2089,6,2.02,613
PORTUGAL,12286,2761,6608,2169,748,0,1.18,1359
QATAR,29412,0,1499,26725,816,372,13.54,1072
REPUBLIC OF CAMEROON,1910,0,1386,347,177,0,0.08,112
REPUBLIC OF KOREA,160119,84161,42616,26942,6399,0,3.2,10570
REPUBLIC OF MOLDOVA,1345,94,595,478,177,0,0.33,21
REPUBLIC OF SOUTH SUDAN,408,0,408,0,0,0,0.03,32
REPUBLIC OF SUDAN,4190,0,3717,0,473,0,0.11,226
REUNION,1138,463,620,0,54,0,1.33,49
ROMANIA,19090,6126,6042,5849,1074,0,0.97,220
RUSSIAN FEDERATION,465052,110403,107368,232204,9322,5755,3.24,17585
RWANDA,229,0,210,0,19,0,0.02,17
SAINT HELENA,3,0,3,0,0,0,0.84,0
SAINT LUCIA,111,0,111,0,0,0,0.61,5
SAINT MARTIN (DUTCH PORTION),200,0,200,0,0,0,5.31,205
SAMOA,54,0,54,0,0,0,0.28,9
SAO TOME & PRINCIPE,31,0,31,0,0,0,0.17,9
SAUDI ARABIA,163907,0,112689,43430,7782,5,5.31,4718
SENEGAL,2415,235,1493,21,666,0,0.16,284
SERBIA,10272,6721,2242,1005,304,0,1.16,70
SEYCHELLES,135,0,135,0,0,0,1.41,155
SIERRA LEONE,357,0,311,0,46,0,0.06,7
SINGAPORE,15373,456,9118,5800,0,0,2.79,42028
SLOVAKIA,8366,3624,1932,2356,451,3,1.54,29
SLOVENIA,3494,1136,1788,391,180,0,1.69,71
SOLOMON ISLANDS,55,0,55,0,0,0,0.1,4
SOMALIA,166,0,166,0,0,0,0.02,57
SOUTH AFRICA,133562,113068,16448,2404,1642,0,2.47,2945
SPAIN,63806,11852,35189,14781,1984,0,1.38,9892
SRI LANKA,5016,1059,3701,0,256,0,0.24,681
ST. KITTS-NEVIS,63,0,63,0,0,0,1.14,4
ST. PIERRE & MIQUELON,21,0,21,0,0,0,3.33,5
ST. VINCENT & THE GRENADINES,57,0,57,0,0,0,0.52,0
SURINAME,543,0,522,2,18,1,1.01,66
SWAZILAND,328,131,197,0,0,0,0.26,1
SWEDEN,11841,2183,8822,496,340,0,1.22,2107
SWITZERLAND,9628,148,7230,1668,583,0,1.17,1312
SYRIAN ARAB REPUBLIC,8373,1,5198,2480,517,178,0.45,219
TAIWAN,72013,42516,18985,8526,1985,0,3.08,3046
TAJIKISTAN,1415,404,689,166,156,0,0.17,52
THAILAND,86232,16612,41230,23633,4757,0,1.27,3980
TIMOR-LESTE (FORMERLY EAST TIMOR),128,0,128,0,0,0,0.11,3
TOGO,715,0,467,20,228,0,0.1,81
TONGA,33,0,33,0,0,0,0.31,3
TRINIDAD AND TOBAGO,12619,0,1243,11262,114,0,9.32,575
TUNISIA,7862,0,3235,3291,1241,96,0.71,239
TURKEY,94350,37875,21662,25111,9701,0,1.22,3054
TURKMENISTAN,18659,0,5453,12812,394,0,3.52,402
TURKS AND CAICOS ISLANDS,56,0,56,0,0,0,1.66,0
TUVALU,3,0,3,0,0,0,0,0
UGANDA,1426,125,1011,0,291,0,0.04,98
UKRAINE,61985,31649,8151,20874,1310,0,1.38,109
UNITED ARAB EMIRATES,57641,2157,17922,34852,2176,534,6.34,17317
UNITED KINGDOM,114486,31081,44274,37340,1218,573,1.78,10921
UNITED REPUBLIC OF TANZANIA,3153,178,2117,475,382,1,0.06,170
UNITED STATES OF AMERICA,1432855,450047,576531,390719,11314,4244,4.43,30722
URUGUAY,1840,2,1700,25,112,0,0.54,251
UZBEKISTAN,28692,1677,2086,23929,1000,0,0.97,0
VANUATU,42,0,42,0,0,0,0.16,10
VENEZUELA,50510,204,28445,12731,1088,8042,1.65,1256
VIET NAM,45517,19246,12694,5349,8229,0,0.49,761
WALLIS AND FUTUNA ISLANDS,6,0,6,0,0,0,0.44,1
YEMEN,6190,137,5090,581,381,0,0.24,153
ZAMBIA,1228,132,797,0,299,0,0.08,33
ZIMBABWE,3278,2097,1005,0,177,0,0.22,9
